scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
2026-07-03T18:20:34Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
2026-07-03T18:57:51Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
2026-07-03T20:41:14Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T01:43:08Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,,,,,14.00,60.00,175.00,0,
2026-07-04T02:48:57Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T02:57:29Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T03:59:22Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T06:38:09Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T09:57:00Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T11:19:56Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T12:53:05Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T14:55:58Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T16:48:20Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T18:50:31Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T20:40:51Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-04T22:43:34Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-05T01:43:15Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-05T05:51:11Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-05T08:35:33Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
2026-07-05T11:21:03Z,"7485 Scenic Hwy, Baton Rouge, LA 70807",Bobtail / Box Truck,2,,2,0,0.0,,14.00,60.00,175.00,0,
